Ad_ID,Company_Campaign_ID,FB_campaign_ID,Age,Gender,interest,Impressions,Clicks,Spent,Ctr,Cpc,Conversion_Rate,Cpa,Gender_Encoded
748231,936,111006,47,F,16,25194,6,7.349999905,0.0002381519409383,1.2249999841666666,0.1666666666666666,7.349999905,1
1121613,1178,144626,47,M,19,309823,60,103.3899996,0.0001936589601159,1.72316666,0.0666666666666666,25.8474999,0
780799,936,116273,32,F,22,44699,13,17.30000037,0.0002908342468511,1.3307692592307692,0.1538461538461538,8.650000185,1
734803,936,108753,32,F,18,1631,0,0.0,0.0,0.0,0.0,0.0,1
781438,936,116385,32,M,63,2086,0,0.0,0.0,0.0,0.0,0.0,0
1122223,1178,144727,47,F,20,368480,107,140.4200011,0.0002903821102909,1.3123364588785047,0.0467289719626168,28.08400022,1
1121798,1178,144656,32,F,24,107548,19,29.31000018,0.0001766653029345,1.5426315884210526,0.0526315789473684,29.31000018,1
1314332,1178,179899,42,M,106,67710,10,15.14999998,0.0001476886722788,1.514999998,0.1,15.14999998,0
1121243,1178,144562,32,M,36,53520,6,9.2299999,0.0001121076233183,1.5383333166666666,0.1666666666666666,9.2299999,0
1121278,1178,144570,32,M,7,1044442,142,245.5999999,0.0001359577650075,1.729577464084507,0.1549295774647887,11.163636359090908,0
776643,936,115538,32,M,15,33491,6,10.56999969,0.0001791526081633,1.761666615,0.3333333333333333,5.284999845,0
950550,936,123519,32,M,30,219,0,0.0,0.0,0.0,0.0,0.0,0
776353,936,115490,42,F,63,27559,8,13.37,0.0002902862948583,1.67125,0.125,13.37,1
1314360,1178,179927,32,F,104,442919,76,110.7800021,0.000171588936126,1.4576316065789474,0.2763157894736842,5.275238195238096,1
1121905,1178,144674,37,F,16,905699,161,234.6599982,0.0001777632524712,1.4575155167701863,0.0248447204968944,58.66499955,1
738560,936,109844,42,F,64,1338,0,0.0,0.0,0.0,0.0,0.0,1
1122140,1178,144713,42,F,31,81551,21,29.67000008,0.0002575075719488,1.4128571466666666,0.0476190476190476,29.67000008,1
1121342,1178,144580,37,M,23,104869,18,34.07000089,0.0001716427161506,1.8927778272222224,0.0555555555555555,34.07000089,0
776533,936,115520,47,F,63,63927,16,25.52000046,0.0002502854818777,1.59500002875,0.125,12.76000023,1
1314307,1178,179874,32,M,111,98606,9,12.10999984,9.127233636898364e-05,1.345555537777778,0.1111111111111111,12.10999984,0
1121355,1178,144583,37,M,26,99961,14,23.2099998,0.0001400546213023,1.6578571285714283,0.0714285714285714,23.2099998,0
1121097,1178,144532,32,M,15,30068,1,1.820000052,3.3257948649727285e-05,1.820000052,1.0,1.820000052,0
1122211,1178,144725,47,F,18,317601,76,115.6600008,0.000239293956883,1.5218421157894737,0.0131578947368421,115.6600008,1
747828,936,110939,32,F,22,28488,10,9.340000033,0.0003510249929795,0.9340000033,0.1,9.340000033,1
1314368,1178,179935,32,F,112,699232,80,111.9899995,0.0001144112397601,1.39987499375,0.15,9.332499958333331,1
1121177,1178,144547,32,M,26,26316,2,3.24000001,7.599939200486396e-05,1.620000005,1.5,1.0800000033333337,0
738098,936,109738,32,F,64,1539,0,0.0,0.0,0.0,0.0,0.0,1
1314333,1178,179900,42,M,107,348180,41,60.22999907,0.0001177551841001,1.4690243675609755,0.073170731707317,20.076666356666667,0
951444,936,123668,32,F,25,2983,1,0.970000029,0.0003352329869259,0.970000029,1.0,0.970000029,1
1121129,1178,144537,32,M,21,20618,1,2.099999905,4.850130953535746e-05,2.099999905,2.0,1.0499999525,0
1314409,1178,179976,47,F,108,212508,33,47.69000006,0.0001552882715003,1.4451515169696971,0.1212121212121212,11.922500015,1
708895,916,103941,32,M,16,10951,1,1.269999981,9.131586156515389e-05,1.269999981,1.0,1.269999981,0
951225,936,123631,37,F,22,4621,2,3.25,0.0004328067517853,1.625,0.5,3.25,1
747222,936,110838,32,M,16,12489,2,1.960000038,0.0001601409240131,0.980000019,0.5,1.960000038,0
1121874,1178,144669,32,F,2,145548,28,42.37000036,0.0001923763981641,1.5132142985714283,0.0714285714285714,21.18500018,1
1121733,1178,144646,47,M,66,55536,11,17.04999995,0.0001980697205416,1.5499999954545454,0.0909090909090909,17.04999995,0
780486,936,116216,32,F,65,2879,0,0.0,0.0,0.0,0.0,0.0,1
1314324,1178,179891,37,M,113,97540,8,11.5199995,8.201763379126513e-05,1.4399999375,0.25,5.75999975,0
1121405,1178,144591,37,M,63,20959,2,3.769999981,9.542440001908489e-05,1.8849999905,0.5,3.769999981,0
776489,936,115512,47,F,26,175389,55,81.60999787,0.0003135886515117,1.4838181430909092,0.0181818181818181,81.60999787,1
779106,936,115962,37,F,30,14670,7,9.410000324,0.0004771642808452,1.344285760571429,0.1428571428571428,9.410000324,1
1121303,1178,144574,37,M,16,84494,7,12.57000017,8.284611925107108e-05,1.79571431,0.2857142857142857,6.285000085,0
950770,936,123555,32,M,28,7780,3,4.329999924,0.0003856041131105,1.443333308,0.6666666666666666,2.164999962,0
951400,936,123660,47,F,10,24028,9,12.39000034,0.0003745630098218,1.3766667044444445,0.2222222222222222,6.19500017,1
